id,image,details,hdb_approved,gender,date_of_birth,name,age
1,https://cdn2.thedogapi.com/images/rkiByec47_1280.jpg,"Wild, Hardworking, Dutiful",False,M,2015,African Hunting Dog,5
2,https://cdn2.thedogapi.com/images/SkFt1gc47_1280.jpg,"Strong Willed, Stubborn, Friendly, Clownish, Affectionate, Loyal, Obedient, Intelligent, Courageous",True,F,2016,American Bully,4
3,https://cdn2.thedogapi.com/images/r1Ylge5Vm_1280.jpg,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",True,M,2014,Australian Terrier,6
4,https://cdn2.thedogapi.com/images/SkvZgx94m_1280.jpg,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",True,M,2009,Azawakh,11
5,https://cdn2.thedogapi.com/images/HJAFgxcNQ_1280.jpg,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",True,F,2013,Black and Tan Coonhound,7
6,https://cdn2.thedogapi.com/images/ry1kWe5VQ_1280.jpg,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",False,M,2011,Boxer,9
7,https://cdn2.thedogapi.com/images/r1ifZl5E7_1280.jpg,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",True,F,2015,Bullmastiff,5
8,https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",True,F,2014,Cavalier King Charles Spaniel,6
9,https://cdn2.thedogapi.com/images/SkIgzxqNQ_1280.jpg,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",True,F,2017,English Toy Spaniel,3
10,https://cdn2.thedogapi.com/images/S1VWGx9Nm_1280.jpg,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",False,M,2010,Eurasier,10
11,https://cdn2.thedogapi.com/images/B1u4zgqE7_1280.jpg,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",False,M,2008,German Pinscher,12
12,https://cdn2.thedogapi.com/images/SJqBMg5Nm_1280.jpg,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",False,M,2014,German Shorthaired Pointer,6
13,https://cdn2.thedogapi.com/images/rkXiGl9V7_1280.jpg,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",True,M,2014,Havanese,6
14,https://cdn2.thedogapi.com/images/Hyd2zgcEX_1280.jpg,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",True,F,2018,Irish Wolfhound,2
15,https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",False,M,2011,Japanese Chin,9
16,https://cdn2.thedogapi.com/images/HksaMxqNX_1280.jpg,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",False,M,2016,Japanese Spitz,4
17,https://cdn2.thedogapi.com/images/SyRe4xcN7_1280.jpg,"Lively, Reserved, Intelligent, Active, Protective, Vocal",False,M,2010,Pumi,10
18,https://cdn2.thedogapi.com/images/HyJvcl9N7_1280.jpg,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",True,M,2015,Pug,5
19,https://cdn2.thedogapi.com/images/S17ZilqNm_1280.jpg,"Outgoing, Friendly, Alert, Gentle, Intelligent",True,M,2010,Siberian Husky,10
20,https://cdn2.thedogapi.com/images/SkRpsgc47_1280.jpg,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",True,F,2010,Treeing Walker Coonhound,10
21,https://cdn2.thedogapi.com/images/SJ6f2g9EQ_1280.jpg,"Fearless, Friendly, Bold, Keen, Alert, Quick",True,M,2008,Wire Fox Terrier,12
22,https://cdn2.thedogapi.com/images/r1I4hl5Em_1280.jpg,"Aloof, Clownish, Dignified, Independent, Happy",False,M,2015,Wirehaired Vizsla,5
23,https://cdn2.thedogapi.com/images/HkNS3gqEm_1280.jpg,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",True,M,2012,Xoloitzcuintli,8
24,https://cdn2.thedogapi.com/images/Sk-dcXjN7.gif,"Aloof, Clownish, Dignified, Independent, Happy",True,M,2009,Oreo,11
25,https://cdn2.thedogapi.com/images/Skd32PpN7.gif,"Aloof, Clownish, Dignified, Independent, Happy",True,F,2010,Jake,10
26,https://cdn2.thedogapi.com/images/B1YDzppN7.gif,"Aloof, Clownish, Dignified, Independent, Happy",False,M,2014,Gunner,6
27,https://cdn2.thedogapi.com/images/rJifQpT4m.gif,"Aloof, Clownish, Dignified, Independent, Happy",False,M,2012,Baby,8
28,https://cdn2.thedogapi.com/images/SkatQTaEQ.gif,"Aloof, Clownish, Dignified, Independent, Happy",True,M,2014,Callie,6
29,https://cdn2.thedogapi.com/images/rk9k4aTNm.gif,"Aloof, Clownish, Dignified, Independent, Happy",True,M,2009,Bo,11
30,https://cdn2.thedogapi.com/images/S1FXVTpV7.gif,"Aloof, Clownish, Dignified, Independent, Happy",False,M,2014,Missy,6
31,https://cdn2.thedogapi.com/images/SJY6N6aVQ.gif,"Aloof, Clownish, Dignified, Independent, Happy",False,F,2012,Willow,8
32,https://cdn2.thedogapi.com/images/rJk6rpTEm.gif,"Aloof, Clownish, Dignified, Independent, Happy",False,F,2010,Layla,10
